Name,Volume,Price
Johnnie Walker game of thrones limited edition song of fire,                      750 ml,"Ksh 5,000"
Johnnie Walker game of thrones limited edition song of ice,                      750 ml,"Ksh 5,000"
Johnnie walker white label game of thrones,                      750 ml,"Ksh 5,000"
Jack daniels tennessee rye,                      750 ml,"Ksh 5,199"
Glen silvers 12 years,                      750 ml,"Ksh 5,299"
Glen silvers single malt,                      750 ml,"Ksh 5,499"
Monkey shoulder,                      750 ml,"Ksh 5,499"
Canadian club classic 12 years small batch,                      750 ml,"Ksh 5,499"
Scots Gold 12 Years,                      750 ml,"Ksh 5,499"
Tullamore Dew Xo Caribbean Rum Finish,                      750 ml,"Ksh 5,499"
Teeling whiskey single malt,                      750 ml,"Ksh 5,499"
Glen moray classic peated,                      700 ml,"Ksh 5,499"
Ballantines 12 years,                      750 ml,"Ksh 5,499"
Johnnie walker black triple cask,                      1 litre,"Ksh 5,499"
Old forester bourbon,                      1 litre,"Ksh 5,499"
Old forester signature bourbon,                      1 litre,"Ksh 5,499"
Maker's mark,                      750 ml,"Ksh 5,500"
Singleton talifire,                      750 ml,"Ksh 5,500"
Connemara Single Malt,                      700 ml,"Ksh 5,799"
Crown Royal Canadian Whisky,                      1 litre,"Ksh 5,899"
The famous grouse gold reserve,                      1 litre,"Ksh 5,990"
Copper Dog,                      750 ml,"Ksh 5,999"
Green Spot Single Pot Still,                      700 ml,"Ksh 5,999"
Jameson black barrel,                      750 ml,"Ksh 5,999"
Glen moray port cask finish,                      750 ml,"Ksh 5,999"
Jack daniels old no 7 legacy edition,                      750 ml,"Ksh 5,999"
Canmore,                      750 ml,"Ksh 5,999"
Crown royal rye,                      750 ml,"Ksh 5,999"
Bulleit bourbon,                      700 ml,"Ksh 5,999"
Islay mist original,                      750 ml,"Ksh 5,999"
Weller special reserve,                      750 ml,"Ksh 5,999"
Jack daniels old no 7 legacy edition 3,                      700 ml,"Ksh 5,999"
Jack daniels master distillers no 2,                      700 ml,"Ksh 5,999"
The black grouse alpha edition,                      750 ml,"Ksh 5,999"
Jack daniels old no 7 legacy edition 2,                      700 ml,"Ksh 5,999"
Nikka black clear whisky,                      750 ml,"Ksh 5,999"
Buffalo trace kentucky straight bourbon whiskey,                      750 ml,"Ksh 5,999"
Akashi blue label,                      750 ml,"Ksh 5,999"
J&B jet 12 years,                      750 ml,"Ksh 5,999"
Bushmills black bush,                      750 ml,"Ksh 5,999"
Glenlivet founders reserve,                      750 ml,"Ksh 5,999"
Akashi white oak,                      500 ml,"Ksh 5,999"
Singleton 12 years dufftown,                      750 ml,"Ksh 5,999"
Ballantines christmas reserve,                      700 ml,"Ksh 6,000"
Maker's mark,                      1 litre,"Ksh 6,000"
Bushmills 10 years,                      750 ml,"Ksh 6,000"
Knockando justerin and brooks single malt,                      700 ml,"Ksh 6,000"
Jack daniels tennessee rye,                      1 litre,"Ksh 6,199"
George dickel no. 8,                      1 litre,"Ksh 6,499"
Wild turkey 101,                      1 litre,"Ksh 6,499"
Makers mark private select,                      700 ml,"Ksh 6,499"
Glenrothes manse reserve,                      700 ml,"Ksh 6,499"
Jameson caskmates,                      1 litre,"Ksh 6,499"
Tullamore Dew Xo Caribbean Rum Finish,                      1 litre,"Ksh 6,499"
Glenrothes 10 years,                      750 ml,"Ksh 6,499"
Glenlivet 12 years,                      750 ml,"Ksh 6,499"
Paul john nirvana indian single malt whisky,                      750 ml,"Ksh 6,499"
Glen moray 12 Years,                      750 ml,"Ksh 6,499"
Reki helios blended whisky,                      700 ml,"Ksh 6,499"
Old pulteney 10 years,                      750 ml,"Ksh 6,499"
Cardhu 12 years,                      700 ml,"Ksh 6,500"
Buchanans deluxe 12 years,                      1 litre,"Ksh 6,500"
Bushmills bourbon cask steamship,                      750 ml,"Ksh 6,990"
Jameson blender's dog,                      750 ml,"Ksh 6,990"
Jameson coopers croze,                      750 ml,"Ksh 6,990"
Woodford reserve,                      700 ml,"Ksh 6,995"
Islay mist 12 years,                      700 ml,"Ksh 6,999"
Johnnie walker double black,                      1 litre,"Ksh 6,999"
Glenmorangie original,                      750 ml,"Ksh 6,999"
Talisker storm,                      750 ml,"Ksh 6,999"
Ardmore legacy,                      750 ml,"Ksh 6,999"
1792 small batch bourbon whiskey,                      750 ml,"Ksh 6,999"
Jameson triple triple,                      1 litre,"Ksh 6,999"
Jura Journey,                      700 ml,"Ksh 6,999"
Johnnie walker explorers club collection the adventurer,                      700 ml,"Ksh 6,999"
Glenlivet 12 years double oak,                      750 ml,"Ksh 6,999"
Buchanan's two souls,                      750 ml,"Ksh 6,999"
Buchanan's master,                      750 ml,"Ksh 6,999"
Monkey shoulder,                      1 litre,"Ksh 6,999"
J&B reserve 15 years,                      1 litre,"Ksh 6,999"
Tullibardine 228,                      750 ml,"Ksh 6,999"
Kavalan,                      700 ml,"Ksh 6,999"
Caol ila moch,                      750 ml,"Ksh 6,999"
Bulleit bourbon,                      1 litre,"Ksh 6,999"
Sazerac Rye,                      750 ml,"Ksh 6,999"
Knob creek Kentucky straight bourbon small batch,                      700 ml,"Ksh 6,999"
Makers mark 46,                      700 ml,"Ksh 7,000"
Glenmorangie lasanta,                      750 ml,"Ksh 7,000"
Compass box peat monster,                      750 ml,"Ksh 7,499"
Compass Box Spice Tree,                      750 ml,"Ksh 7,499"
Jameson caskmates IPA edition,                      750 ml,"Ksh 7,499"
Shackleton Malt,                      750 ml,"Ksh 7,499"
Crown royal black,                      1 litre,"Ksh 7,499"
Glenkinchie 12 years,                      700 ml,"Ksh 7,499"
Knob creek straight rye,                      750 ml,"Ksh 7,499"
Teeling whiskey small batch,                      750 ml,"Ksh 7,499"
Gentleman jack,                      1 litre,"Ksh 7,499"
Bulleit 95 Rye,                      1 litre,"Ksh 7,499"
Nikka black rich blend,                      750 ml,"Ksh 7,499"
Glengoyne 10 years,                      700 ml,"Ksh 7,500"
Jack daniel single barrel,                      750 ml,"Ksh 7,500"
Glenlivet 12 years,                      1 litre,"Ksh 7,799"
Ardmore legacy,                      1 litre,"Ksh 7,800"
Nikka all malt whisky,                      700 ml,"Ksh 7,990"
Woodford reserve,                      1 litre,"Ksh 7,995"
Johnnie walker blenders batch sherry cask finish,                      1 litre,"Ksh 7,999"
Kura awamori 3 years,                      750 ml,"Ksh 7,999"
Bowmore small batch reserve bourbon cask matured,                      700 ml,"Ksh 7,999"
Bowmore bourbon no 1,                      750 ml,"Ksh 7,999"
Proper no. twelve irish whiskey,                      1 litre,"Ksh 7,999"
Aultmore 12 Years,                      750 ml,"Ksh 7,999"
Akashi white toji blend,                      700 ml,"Ksh 7,999"
Glenmorangie quinta ruban,                      750 ml,"Ksh 7,999"
The Sexton Irish Whisky,                      750 ml,"Ksh 7,999"
Glen scotia double cask,                      700 ml,"Ksh 7,999"
Glenmorangie original,                      1 litre,"Ksh 7,999"
Glenfarclas 12 years,                      1 litre,"Ksh 7,999"
Singleton dufftown 15 years,                      750 ml,"Ksh 7,999"
Wild turkey rare breed,                      700 ml,"Ksh 7,999"
Johnnie Walker Select Cask rye cask finish,                      1 litre,"Ksh 7,999"
Speyburn Bradan Orach,                      750 ml,"Ksh 7,999"
Jack Daniels Bond,                      1 litre,"Ksh 7,999"
Kirin fuji sanroku whisky,                      700 ml,"Ksh 7,999"
Auchetoshan 12 years,                      750 ml,"Ksh 7,999"
Glenmorangie quinta ruban 14 years,                      750 ml,"Ksh 7,999"
Wild turkey 101 rye,                      1 litre,"Ksh 7,999"
Wild turkey 13 distillers reserve,                      700 ml,"Ksh 7,999"
Glen turner 12 years,                      700 ml,"Ksh 7,999"
Johnnie walker blenders batch bourbon cask & rye finish,                      1 litre,"Ksh 7,999"
Aberlour 10 years,                      750 ml,"Ksh 8,000"
Jura 10 years,                      750 ml,"Ksh 8,000"
Talisker 10 years,                      750 ml,"Ksh 8,000"
Johnnie walker blenders batch red rye finish,                      1 litre,"Ksh 8,000"
Auchentoshan heartwood,                      1 litre,"Ksh 8,000"
Highland park 12 years,                      750 ml,"Ksh 8,000"
Glenlivet master distiller's,                      750 ml,"Ksh 8,000"
The Glenrothes Select Reserve,                      700 ml,"Ksh 8,000"
Cardhu gold reserve,                      700 ml,"Ksh 8,000"
Rampur select cask,                      700 ml,"Ksh 8,000"
Bulleit Bourbon 10 Years,                      700 ml,"Ksh 8,250"
Caol ila 12 years,                      750 ml,"Ksh 8,499"
Glen moray 15 Years,                      750 ml,"Ksh 8,499"
Glenfiddich 12 Years,                      750 ml,"Ksh 8,499"
Crown royal vanilla,                      750 ml,"Ksh 8,499"
Paul john edited single malt whisky,                      750 ml,"Ksh 8,499"
Johnnie walker gold label reserve,                      1 litre,"Ksh 8,499"
Glenlivet 13 years cask strength,                      750 ml,"Ksh 8,499"
Paul john brilliance indian single malt whisky,                      750 ml,"Ksh 8,499"
Amrut amalgam,                      750 ml,"Ksh 8,499"
Johnnie walker green label,                      750 ml,"Ksh 8,499"
Famous grouse 16 years,                      700 ml,"Ksh 8,499"
Glenlivet white oak triple cask reserve,                      700 ml,"Ksh 8,499"
Paul john bold indian single malt whisky,                      750 ml,"Ksh 8,499"
Maker's mark 101,                      1 litre,"Ksh 8,499"
Glen Moray 16 Years,                      750 ml,"Ksh 8,499"
Ardmore triple wood,                      750 ml,"Ksh 8,499"
The glenlivet caribbean reserve,                      700 ml,"Ksh 8,499"
Kamiki whisky,                      500 ml,"Ksh 8,499"
The glenlivet captains reserve,                      700 ml,"Ksh 8,499"
Chivas regal extra,                      750 ml,"Ksh 8,500"
Oban 14 years,                      750 ml,"Ksh 8,999"
Talisker Select Reserve GOT,                      750 ml,"Ksh 8,999"
Tomintoul 12 years single malt sherry cask,                      750 ml,"Ksh 8,999"
Speyburn 10 Years,                      750 ml,"Ksh 8,999"
Dimple haig 15 years,                      750 ml,"Ksh 8,999"
Jura 12,                      750 ml,"Ksh 8,999"
Glenlivet distillers edition,                      750 ml,"Ksh 8,999"
Glenmorangie x highland,                      750 ml,"Ksh 8,999"
Virginia black,                      750 ml,"Ksh 8,999"
Grand Old Parr 12 Years,                      750 ml,"Ksh 8,999"
Amrut portonova single malt indian whisky,                      700 ml,"Ksh 8,999"
Rampur double cask,                      750 ml,"Ksh 8,999"
Jameson select reserve,                      750 ml,"Ksh 8,999"
Powers Johns Lane 12 Years,                      750 ml,"Ksh 8,999"
Chivas regal 15 years XV,                      750 ml,"Ksh 8,999"
Grants 18 years,                      750 ml,"Ksh 8,999"
Togouchi japanese blended whisky,                      700 ml,"Ksh 8,999"
Talisker Port Ruighe,                      700 ml,"Ksh 8,999"
Johnnie walker platinum label,                      750 ml,"Ksh 9,000"
Dimple 15,                      1 litre,"Ksh 9,000"
Johnnie walker 18 years,                      750 ml,"Ksh 9,000"
Canmore 12 Years,                      750 ml,"Ksh 9,000"
Auchentoshan springwood,                      1 litre,"Ksh 9,000"
Clynelish 14 years old,                      700 ml,"Ksh 9,000"
Ballantines 17 years,                      750 ml,"Ksh 9,000"
Nikka days blended whisky,                      750 ml,"Ksh 9,499"
Scapa the orcadian skiren,                      750 ml,"Ksh 9,499"
Glenfiddich 12 Years,                      1 litre,"Ksh 9,499"
Chivas regal 18 years,                      750 ml,"Ksh 9,499"
Singleton classic glendullan game of thrones,                      750 ml,"Ksh 9,499"
Glenfarclas 105 cask strength,                      1 litre,"Ksh 9,499"
Cutty sark 18 years,                      750 ml,"Ksh 9,499"
Aberfeldy 12 years,                      750 ml,"Ksh 9,799"
Aberlour 12 years,                      700 ml,"Ksh 9,800"
Scapa 16 years,                      700 ml,"Ksh 9,990"
Bunnahabhain An Cladach,                      1 litre,"Ksh 9,993"
Johnnie Walker Black Label Speyside Original,                      1 litre,"Ksh 9,999"
Rampur asava,                      750 ml,"Ksh 9,999"
Johnnie Walker Black Label Lowlands,                      1 litre,"Ksh 9,999"
Johnnie Walker Black Label Highlands original,                      1 litre,"Ksh 9,999"
Johnnie Walker Swing,                      750 ml,"Ksh 9,999"
Glenlivet nadurra,                      1 litre,"Ksh 9,999"
Suntory whisky toki,                      750 ml,"Ksh 9,999"
Jameson Signature Reserve,                      1 litre,"Ksh 9,999"
Yamazakura whisky,                      700 ml,"Ksh 9,999"
