Name,Volume,Price
Ballantines,                      4.5 litres,"Ksh 14,999"
Glenfiddich fire and cane,                      700 ml,"Ksh 14,999"
Glenmorangie 14 years the elementa,                      1 litre,"Ksh 14,999"
Wolfburn latitude,                      700 ml,"Ksh 14,999"
Wolfburn morven,                      700 ml,"Ksh 14,999"
Glenrothes elders reserve 18 years,                      700 ml,"Ksh 14,999"
Singleton glendullan master's art,                      1 litre,"Ksh 14,999"
The balvenie tripple cask 12 years,                      1 litre,"Ksh 15,000"
Aberlour abunadh,                      750 ml,"Ksh 15,000"
Kura Pure Malt,                      700 ml,"Ksh 15,000"
Lagavulin 10 years,                      750 ml,"Ksh 15,000"
Redbreast 12 years,                      700 ml,"Ksh 15,499"
Kura rum cask finish,                      700 ml,"Ksh 15,499"
Glenrothes Robur Reserve,                      750 ml,"Ksh 15,499"
Glenkinchie distillers edition,                      700 ml,"Ksh 15,499"
Glenfiddich 18 years,                      700 ml,"Ksh 15,999"
Miyagikyo Single Malt,                      750 ml,"Ksh 15,999"
Glenfiddich Distillery edition 15 Years,                      1 litre,"Ksh 15,999"
Laphroaig an cuan mor,                      1 litre,"Ksh 15,999"
Bushmills Port Cask Reserve,                      700 ml,"Ksh 15,999"
Glenmorangie Tayne,                      700 ml,"Ksh 15,999"
Johnnie walker black label  king size,                      3 litres,"Ksh 16,000"
Kurayoshi pure malt 8 years,                      750 ml,"Ksh 16,499"
Suntory royal blended whisky,                      750 ml,"Ksh 16,499"
Dalwhinnie distillers edition,                      750 ml,"Ksh 16,499"
The balvenie caribbean cask 14 years,                      750 ml,"Ksh 16,499"
Jameson  4.5 Litres king size,                      4.5 litres,"Ksh 16,500"
Glenmorangie Duthac,                      700 ml,"Ksh 16,999"
Lagavulin distillers edition,                      1 litre,"Ksh 16,999"
Dalmore port wood reserve,                      700 ml,"Ksh 16,999"
Talisker Dark Storm,                      1 litre,"Ksh 16,999"
The dalmore the quintet,                      700 ml,"Ksh 16,999"
Smokehead sherry bomb,                      750 ml,"Ksh 16,999"
Aberlour 18 years,                      750 ml,"Ksh 17,000"
Ledaig 18 Years,                      750 ml,"Ksh 17,399"
Talisker Skye,                      750 ml,"Ksh 17,499"
Talisker Neist Point,                      750 ml,"Ksh 17,499"
Kurayoshi pure malt,                      750 ml,"Ksh 17,499"
Cardhu 18 years,                      750 ml,"Ksh 17,499"
Bowmore 18 years,                      700 ml,"Ksh 17,499"
Chivas Mizunara,                      750 ml,"Ksh 17,499"
Dalmore the trio,                      1 litre,"Ksh 17,999"
Aberfeldy 16 years,                      750 ml,"Ksh 17,999"
Dalmore the trio,                      1 litre,"Ksh 17,999"
Aberlour 16 years,                      750 ml,"Ksh 17,999"
Amrut naarangi single malt,                      700 ml,"Ksh 17,999"
The macallan makers edition,                      750 ml,"Ksh 17,999"
Midleton very rare,                      700 ml,"Ksh 17,999"
Willett pot still reserve bourbon whiskey,                      1.750 litres,"Ksh 17,999"
Knockando 21 years 1994 master reserve,                      700 ml,"Ksh 17,999"
Lagavulin 9 Years,                      700 ml,"Ksh 17,999"
Glenlivet 18 years,                      750 ml,"Ksh 18,000"
Bushmills 16 Years,                      700 ml,"Ksh 18,450"
Laphroaig The 1815 Legacy Edition,                      700 ml,"Ksh 18,999"
Hibiki master select limited edition,                      700 ml,"Ksh 19,990"
Caol ila 15 years,                      700 ml,"Ksh 19,990"
Dalwhinnie winters frost house stark game of thrones,                      700 ml,"Ksh 19,998"
Bruichladdich port charlotte 10,                      750 ml,"Ksh 19,999"
Kurayoshi pure malt 12 years,                      750 ml,"Ksh 19,999"
Caol ila 17 years,                      750 ml,"Ksh 19,999"
Balvenie 12 years the sweet toast of american oak,                      750 ml,"Ksh 19,999"
Glencadam 15 years,                      1 litre,"Ksh 19,999"
Glenmorangie spios private edition no. 9,                      700 ml,"Ksh 19,999"
The macallan lumina,                      750 ml,"Ksh 19,999"
Bruichladdich Octomore 07.2 5 Year,                      700 ml,"Ksh 19,999"
Highland park 18,                      750 ml,"Ksh 19,999"
Glenmorangie 16 years the tribute,                      700 ml,"Ksh 19,999"
Clynelish reserve house tyrell limited edition game of thrones,                      700 ml,"Ksh 19,999"
The balvenie 15 years single barrel sherry cask,                      700 ml,"Ksh 19,999"
Johnnie Walker XR 21 years,                      750 ml,"Ksh 19,999"
Lagavulin 16 years,                      750 ml,"Ksh 19,999"
Glenmorangie cardboll,                      750 ml,"Ksh 19,999"
Glenfiddich vintage cask,                      750 ml,"Ksh 19,999"
Bruichladdich Laddie 8 Years,                      750 ml,"Ksh 19,999"
Jura two one two,                      750 ml,"Ksh 19,999"
Bruichladdich the classic laddie,                      750 ml,"Ksh 19,999"
Amrut triparva triple distilled,                      700 ml,"Ksh 19,999"
Glenmorangie 18 years,                      700 ml,"Ksh 20,000"
Johnnie walker black label  king size,                      4.5 litres,"Ksh 20,000"
Singleton glendullan 18 years,                      1 litre,"Ksh 20,000"
The dalmore cigar malt,                      700 ml,"Ksh 20,799"
The dalmore regalis,                      1 litre,"Ksh 20,999"
Singleton dufftown trinite,                      1 litre,"Ksh 21,000"
The dalmore 18 years,                      700 ml,"Ksh 21,557"
The nikka 12 years,                      700 ml,"Ksh 21,990"
Caol ila 18 years,                      750 ml,"Ksh 21,999"
Nikka taketsuru 12 years pure malt,                      750 ml,"Ksh 22,000"
Aberfeldy 18 years,                      750 ml,"Ksh 22,995"
Togouchi 15 years,                      700 ml,"Ksh 22,999"
Ardbeg 10 years,                      1 litre,"Ksh 22,999"
Singleton dufftown artisan,                      1 litre,"Ksh 23,000"
The hakushu single malt,                      750 ml,"Ksh 23,000"
The Dalmore Valour,                      750 ml,"Ksh 23,499"
The balvenie doublewood 17 years,                      750 ml,"Ksh 23,500"
Bruichladdich octomore 07.1,                      750 ml,"Ksh 23,999"
Aberfeldy 15 years napa valley cask,                      750 ml,"Ksh 23,999"
Ballantines 21 years,                      700 ml,"Ksh 23,999"
Nikka yoichi single malt,                      750 ml,"Ksh 24,000"
Jameson 18 years,                      700 ml,"Ksh 24,999"
Chivas regal royal salute 21 years,                      700 ml,"Ksh 24,999"
Glenfiddich 19 years bourbon cask,                      700 ml,"Ksh 24,999"
The macallan 15 years fine oak double cask,                      750 ml,"Ksh 24,999"
Chivas regal 12 years  4.5 Litres king size,                      4.5 litres,"Ksh 24,999"
Glenlivet 18 years,                      1 litre,"Ksh 24,999"
Glenfarclas 21 years,                      750 ml,"Ksh 24,999"
Midleton barry crockett,                      700 ml,"Ksh 24,999"
Aberlour casg annamh,                      1 litre,"Ksh 24,999"
Glenmorangie 19 years,                      700 ml,"Ksh 24,999"
Chivas revolve,                      750 ml,"Ksh 24,999"
The Macallan Sienna,                      750 ml,"Ksh 24,999"
Aberlour casg namah,                      1 litre,"Ksh 24,999"
The macallan 12 years sherry oak,                      750 ml,"Ksh 25,000"
Jura 21 years,                      750 ml,"Ksh 25,000"
The macallan terra,                      700 ml,"Ksh 25,999"
The balvenie 16 years triple cask,                      700 ml,"Ksh 26,000"
Jack daniels sinatra,                      1 litre,"Ksh 26,999"
Johnnie Walker XR 21 years,                      1 litre,"Ksh 26,999"
The Dalmore Luceo,                      750 ml,"Ksh 27,499"
Johnnie walker blue label,                      750 ml,"Ksh 27,999"
Glenfiddich 19 years madeira cask,                      700 ml,"Ksh 27,999"
The macallan reserve estate,                      750 ml,"Ksh 29,999"
Macallan night on earth,                      700 ml,"Ksh 29,999"
Aberfeldy 21 years madeira cask finish,                      700 ml,"Ksh 29,999"
Macallan the harmony collection,                      700 ml,"Ksh 29,999"
Royal salute hundred cask,                      750 ml,"Ksh 29,999"
Highland park sigurd,                      700 ml,"Ksh 30,000"
Jura 21 tide,                      750 ml,"Ksh 30,499"
Aberfeldy 16 years exceptional cask,                      700 ml,"Ksh 30,999"
Kurayoshi pure malt 18 years,                      750 ml,"Ksh 30,999"
Johnnie walker blue label,                      1 litre,"Ksh 30,999"
Monkey shoulder king size,                      4.5 litres,"Ksh 31,999"
Grants 25 years,                      700 ml,"Ksh 32,000"
Tomintoul 18 years,                      700 ml,"Ksh 34,999"
Royal salute hundred cask,                      1 litre,"Ksh 34,999"
The yamazaki distillers reserve japanese single malt whisky,                      750 ml,"Ksh 34,999"
The dalmore king alexander III,                      700 ml,"Ksh 34,999"
The macallan ruby,                      750 ml,"Ksh 34,999"
Hakushu 12 years japanese whisky,                      750 ml,"Ksh 34,999"
Glenmorangie signet,                      750 ml,"Ksh 34,999"
Cutty sark 25 years,                      700 ml,"Ksh 35,000"
Chivas regal 25 years,                      750 ml,"Ksh 35,000"
Glenfiddich 21 years,                      700 ml,"Ksh 36,999"
Chivas Regal Ultis Scotch Whisky,                      750 ml,"Ksh 39,000"
Chivas Regal Ultis Scotch Whisky,                      1 litre,"Ksh 39,999"
The macallan enigma,                      700 ml,"Ksh 39,999"
The yamazaki 12 years Japanese single malt whisky,                      750 ml,"Ksh 39,999"
Hibiki Suntory,                      750 ml,"Ksh 39,999"
Japanese hibiki blenders choice,                      700 ml,"Ksh 39,999"
Glenlivet 21 years,                      750 ml,"Ksh 40,000"
Glenlivet single cask edition 16 years,                      700 ml,"Ksh 44,000"
Glen Deveron 28 Years,                      750 ml,"Ksh 44,999"
Johnnie Walker Blue Label - Ghost & Rare Glenury Royal,                      750 ml,"Ksh 44,999"
Mortlach 20 years,                      750 ml,"Ksh 44,999"
Hibiki master select,                      750 ml,"Ksh 46,999"
Macallan classic cut,                      700 ml,"Ksh 47,999"
Hibiki 17 years,                      750 ml,"Ksh 48,900"
Chivas Royal Salute Diamond Tribute,                      700 ml,"Ksh 49,999"
Glenfiddich 23 years grand cru,                      700 ml,"Ksh 49,999"
Macallan 18 years fine oak triple cask,                      750 ml,"Ksh 54,999"
Glenfiddich 21 years winter edition,                      700 ml,"Ksh 54,999"
The macallan 18 years fine oak double cask,                      750 ml,"Ksh 54,999"
The balvenie 25 years triple cask,                      700 ml,"Ksh 54,999"
Glen Deveron 30 Years,                      750 ml,"Ksh 54,999"
Glenlivet 25 years,                      700 ml,"Ksh 55,000"
Glenfiddich 25 years,                      700 ml,"Ksh 59,999"
Macallan estate,                      750 ml,"Ksh 59,999"
The macallan rare cask no 2,                      700 ml,"Ksh 59,999"
Ballantines 30 years,                      700 ml,"Ksh 60,000"
King george v,                      700 ml,"Ksh 64,999"
The balvenie portwood 21 years,                      700 ml,"Ksh 65,000"
The macallan rare cask black,                      700 ml,"Ksh 69,999"
Johnnie walker & sons private collection,                      700 ml,"Ksh 79,990"
Laphroaig 25 years,                      700 ml,"Ksh 79,999"
Glenfiddich 26 years,                      700 ml,"Ksh 84,999"
Chivas Royal Salute 38 Years Destiny,                      700 ml,"Ksh 84,999"
Glenfiddich 30 years,                      700 ml,"Ksh 94,999"
Glenfiddich grande couronne 26 years,                      700 ml,"Ksh 99,000"
The macallan reflexion,                      700 ml,"Ksh 150,000"
Johnnie walker odyssey,                      700 ml,"Ksh 150,000"
The macallan oscuro,                      700 ml,"Ksh 150,000"
The glenrothes john ramsay,                      700 ml,"Ksh 150,000"
The macallan no. 6,                      700 ml,"Ksh 599,999"
Glenfiddich 40 years,                      700 ml,"Ksh 700,000"
The Johnnie Walker,                      700 ml,"Ksh 700,000"
Grenadine syrup,                      750 ml,"Ksh 1,000"
Zappa blue,                      750 ml,"Ksh 1,700"
Zappa black,                      750 ml,"Ksh 1,700"
Best cream,                      750 ml,"Ksh 1,800"
Baileys delight,                      750 ml,"Ksh 1,849"
Zappa original,                      750 ml,"Ksh 1,999"
Zappa white,                      750 ml,"Ksh 1,999"
Zappa red,                      750 ml,"Ksh 1,999"
Amaretto Venezia,                      750 ml,"Ksh 1,999"
Bols triple sec,                      700 ml,"Ksh 2,000"
Zanzi cream,                      750 ml,"Ksh 2,000"
Butlers expresso,                      750 ml,"Ksh 2,000"
Butlers ginger,                      750 ml,"Ksh 2,000"
Butlers peppermint,                      750 ml,"Ksh 2,000"
KGB vodka limon liqueur,                      750 ml,"Ksh 2,000"
Kgb vodka caramel,                      750 ml,"Ksh 2,000"
New grove cafe,                      750 ml,"Ksh 2,499"
Limoncello caducale,                      1 litre,"Ksh 2,499"
Berentezen apple,                      750 ml,"Ksh 2,499"
Molly's Irish Cream,                      750 ml,"Ksh 2,499"
Tango sour apple,                      750 ml,"Ksh 2,499"
Bardinet de menthe,                      750 ml,"Ksh 2,500"
Magnum,                      1 litre,"Ksh 2,500"
Southern comfort,                      750 ml,"Ksh 2,595"
Pernod,                      750 ml,"Ksh 2,800"
Southern comfort,                      1 litre,"Ksh 2,890"
Lupini black sambuca,                      750 ml,"Ksh 2,900"
Po 10 c,                      750 ml,"Ksh 2,999"
Bols banana,                      750 ml,"Ksh 2,999"
Bols vanilla,                      750 ml,"Ksh 2,999"
Bols elderflower,                      750 ml,"Ksh 2,999"
Cuerpo raspberry,                      750 ml,"Ksh 2,999"
Cuerpo gold rum,                      750 ml,"Ksh 2,999"
Cuerpo white rum,                      750 ml,"Ksh 2,999"
Southern comfort 80,                      750 ml,"Ksh 2,999"
St remy a la creme,                      750 ml,"Ksh 2,999"
Bols apricot brandy,                      750 ml,"Ksh 2,999"
Bottega tiramisu,                      500 ml,"Ksh 2,999"
Bols sour apple,                      750 ml,"Ksh 2,999"
Bardinet triple sec,                      750 ml,"Ksh 2,999"
Bardinet bleu curacao,                      750 ml,"Ksh 2,999"
Amarula Limited Edition,                      1 litre,"Ksh 2,999"
Kamasutra Vodka and Liqueur,                      500 ml,"Ksh 2,999"
Cinzano vermouth extra dry,                      750 ml,"Ksh 2,999"
Bonanto ultimate aperitivo,                      750 ml,"Ksh 2,999"
Bottega nero,                      750 ml,"Ksh 2,999"
Tango sour cherry,                      750 ml,"Ksh 2,999"
Ricard,                      750 ml,"Ksh 2,999"
Butlers triple sec,                      750 ml,"Ksh 2,999"
Butlers blue curacao,                      750 ml,"Ksh 2,999"
Butlers strawberry,                      750 ml,"Ksh 2,999"
Romana sambuca,                      1 litre,"Ksh 2,999"
Southern comfort black,                      1 litre,"Ksh 2,999"
Bottega raspberry,                      750 ml,"Ksh 2,999"
Bols creme de menthe,                      750 ml,"Ksh 2,999"
Bols blue curacao,                      750 ml,"Ksh 2,999"
Bols butterscotch,                      750 ml,"Ksh 2,999"
Bols cacao brown,                      750 ml,"Ksh 2,999"
Bols coffee,                      750 ml,"Ksh 2,999"
Bols strawberry,                      750 ml,"Ksh 2,999"
Bols peppermint green,                      750 ml,"Ksh 2,999"
Bols peppermint white,                      750 ml,"Ksh 2,999"
Archers peach,                      750 ml,"Ksh 3,000"
Four cousins strawberry cream,                      750 ml,"Ksh 3,000"
Frangelico,                      750 ml,"Ksh 3,000"
Pimms,                      750 ml,"Ksh 3,000"
Bardinet de cassis,                      750 ml,"Ksh 3,000"
Aperol,                      750 ml,"Ksh 3,499"
Strawberry lips,                      750 ml,"Ksh 3,499"
Amarula fruit cream,                      750 ml,"Ksh 3,499"
Baileys red velvet,                      700 ml,"Ksh 3,499"
Baileys strawberry & cream,                      750 ml,"Ksh 3,499"
De kuyper creme de menthe green peppermint,                      750 ml,"Ksh 3,499"
Campari bitters,                      750 ml,"Ksh 3,499"
Southern comfort lime,                      1 litre,"Ksh 3,499"
Angostura bitters,                      200ml,"Ksh 3,499"
Tequila rose,                      750 ml,"Ksh 3,499"
Pernod,                      1 litre,"Ksh 3,499"
Bottega pannacotta,                      750 ml,"Ksh 3,499"
Marie brizard,                      750 ml,"Ksh 3,499"
Bottega fior di latte,                      500 ml,"Ksh 3,499"
Bols silverstrike,                      500 ml,"Ksh 3,499"
Isolabella limoncello,                      750 ml,"Ksh 3,499"
Isolabella mandarinello,                      750 ml,"Ksh 3,499"
Radeberger bitter herbal liqueur,                      750 ml,"Ksh 3,499"
Zedda piras mirto,                      750 ml,"Ksh 3,499"
Ouzo 12,                      1 litre,"Ksh 3,499"
Ouzo of plomari,                      1 litre,"Ksh 3,499"
De kuyper peach tree,                      700 ml,"Ksh 3,499"
Bols creme de cassis,                      750 ml,"Ksh 3,499"
Bottega pomegranate,                      750 ml,"Ksh 3,499"
Bottega pistacchio,                      750 ml,"Ksh 3,499"
Bottega cappuchino,                      500 ml,"Ksh 3,499"
Bottega caramel,                      500 ml,"Ksh 3,499"
Amarula vegan coconut,                      700 ml,"Ksh 3,499"
Bottega Gianduia,                      500 ml,"Ksh 3,499"
Bols Cherry Brandy,                      700 ml,"Ksh 3,500"
Jim beam apple,                      750 ml,"Ksh 3,500"
Jim beam red stag,                      750 ml,"Ksh 3,500"
Sambuca oro Borghetti,                      1 litre,"Ksh 3,750"
Borghetti Cafe Espresso,                      750 ml,"Ksh 3,750"
Baileys irish cream,                      750 ml,"Ksh 3,800"
Baileys vanilla cinnamon,                      1 litre,"Ksh 3,899"
De kuyper parafait amour,                      750 ml,"Ksh 3,900"
De kuyper creme de cassis,                      750 ml,"Ksh 3,900"
Tia maria,                      750 ml,"Ksh 3,999"
Jack daniel's tennessee fire,                      750 ml,"Ksh 3,999"
Amarula Raspberry Cream Chocolate,                      1 litre,"Ksh 3,999"
Limo limoncello,                      750 ml,"Ksh 3,999"
Mozart dark chocolate,                      700 ml,"Ksh 3,999"
Mozart chocolate cream,                      750 ml,"Ksh 3,999"
Mozart white cream strawberry,                      750 ml,"Ksh 3,999"
Amarula fruit cream,                      1 litre,"Ksh 3,999"
Jack daniels honey,                      750 ml,"Ksh 3,999"
Marsh mallow cream,                      750 ml,"Ksh 3,999"
Archers peach,                      1 litre,"Ksh 3,999"
Limonce,                      750 ml,"Ksh 3,999"
Mozart white chocolate vanilla cream,                      750 ml,"Ksh 3,999"
Campari negroni,                      750 ml,"Ksh 3,999"
Tia maria gift pack,                      700 ml,"Ksh 3,999"
Passoa passion drink,                      1 litre,"Ksh 3,999"
Liquor arancello 30,                      750 ml,"Ksh 3,999"
Madruzzo limoncello,                      750 ml,"Ksh 3,999"
Limoncello luxardo,                      750 ml,"Ksh 3,999"
Limoncello della costa,                      750 ml,"Ksh 3,999"
Amarula ethiopian coffee,                      1 litre,"Ksh 3,999"
Rinquinquin a la peche,                      750 ml,"Ksh 3,999"
Limoncello di capri,                      750 ml,"Ksh 3,999"
Orange colombo,                      750 ml,"Ksh 3,999"
Licor 43 original,                      750 ml,"Ksh 3,999"
Baileys salted caramel,                      1 litre,"Ksh 3,999"
Baileys espresso cream,                      1 litre,"Ksh 3,999"
Alize Bleu Passion,                      750 ml,"Ksh 3,999"
Borghetti Cafe Espresso,                      1 litre,"Ksh 3,999"
Midori liqueur,                      750 ml,"Ksh 3,999"
Disaronno velvet,                      750 ml,"Ksh 3,999"
Ponchos caramel infusion,                      750 ml,"Ksh 4,000"
Jagermeister,                      750 ml,"Ksh 4,000"
Jim beam red stag,                      1 litre,"Ksh 4,000"
Jim beam apple,                      1 litre,"Ksh 4,000"
Ponchos chilli choc,                      750 ml,"Ksh 4,000"
Alize Bleu Passion,                      1 litre,"Ksh 4,099"
Alize Wild Passion,                      750 ml,"Ksh 4,099"
Alize Rose Passion,                      750 ml,"Ksh 4,100"
Amarula Vanilla Spice Cream,                      1 litre,"Ksh 4,199"
Alize Red Passion,                      750 ml,"Ksh 4,199"
Alize Gold Passion,                      1 litre,"Ksh 4,399"
Alize Rose Passion,                      1 litre,"Ksh 4,399"
Alize Wild Passion,                      1 litre,"Ksh 4,399"
Grand marnier raspberry peach,                      750 ml,"Ksh 4,449"
Amaro Montenegro,                      750 ml,"Ksh 4,499"
Agwa diablo,                      500 ml,"Ksh 4,499"
Get 27,                      1 litre,"Ksh 4,499"
Linie aquavit,                      700 ml,"Ksh 4,499"
Amaro di sicilia,                      700 ml,"Ksh 4,499"
Carpano botanic bitter,                      750 ml,"Ksh 4,499"
Bottega Limoncino Limoncello,                      500 ml,"Ksh 4,499"
Jack daniel's tennessee fire,                      1 litre,"Ksh 4,499"
Aperol,                      1 litre,"Ksh 4,499"
Alize Red Passion,                      1 litre,"Ksh 4,499"
Jack daniels honey,                      1 litre,"Ksh 4,499"
Cointreau blood orange,                      1 litre,"Ksh 4,499"
Baileys irish cream,                      1 litre,"Ksh 4,500"
Amarula gold,                      1 litre,"Ksh 4,500"
Jagermeister,                      1 litre,"Ksh 4,500"
Cointreau,                      1 litre,"Ksh 4,799"
Campari cask tales,                      750 ml,"Ksh 4,999"
Disaronno amaretto,                      1 litre,"Ksh 4,999"
Grappa Nonino Prunella,                      750 ml,"Ksh 4,999"
Villa Massa Limoncello,                      750 ml,"Ksh 4,999"
Pallini Limoncello,                      1 litre,"Ksh 4,999"
Campari negroni,                      1 litre,"Ksh 4,999"
Fernet branca,                      700 ml,"Ksh 4,999"
Tia maria,                      1 litre,"Ksh 4,999"
Kahlua,                      1 litre,"Ksh 4,999"
Drambuie,                      750 ml,"Ksh 4,999"
Irish mist honey liqueur,                      700 ml,"Ksh 4,999"
Jumping goat whisky liqueur,                      700 ml,"Ksh 4,999"
Jumping goat vodka liqueur,                      700 ml,"Ksh 4,999"
Baileys chocolate luxe,                      750 ml,"Ksh 4,999"
Limoncello di capri,                      1 litre,"Ksh 4,999"
Liola crema limoncello,                      700 ml,"Ksh 4,999"
Jagermeister charakter scharf,                      700 ml,"Ksh 4,999"
Underberg bitters,                      12 pack,"Ksh 4,999"
Grappa Nonino Friulana 43°,                      750 ml,"Ksh 4,999"
Molinari sambuca extra,                      750 ml,"Ksh 4,999"
Limoncello caducale,                      2 litres,"Ksh 4,999"
Grand marnier,                      1 litre,"Ksh 5,200"
Grappa Nonino Moscato,                      750 ml,"Ksh 5,499"
Benedictine dom,                      1 litre,"Ksh 5,499"
Grappa Nonino Vendemmia White,                      750 ml,"Ksh 5,499"
Meukow xpresso,                      750 ml,"Ksh 5,499"
Grappa Nonino Vuisinar Riserva,                      750 ml,"Ksh 5,499"
Cointreau fizz cocktail carafe pack,                      750 ml,"Ksh 5,499"
Grappa Nonino Prosecco Riserva,                      750 ml,"Ksh 5,799"
Grappa Nonino Prosecco Bianco,                      750 ml,"Ksh 5,899"
Mr black cold brew coffee liqueur,                      700 ml,"Ksh 5,999"
Jagermeister gift pack,                      750 ml,"Ksh 5,999"
Grand Marnier Nuit Parisienne,                      750 ml,"Ksh 5,999"
Grappa Nonino Vendemmia Riserva,                      750 ml,"Ksh 5,999"
Chambord royale,                      750 ml,"Ksh 6,499"
Galliano,                      700 ml,"Ksh 6,499"
Sheridans,                      1 litre,"Ksh 6,499"
Drambuie 15 years,                      750 ml,"Ksh 6,990"
Bumbu Cream,                      750 ml,"Ksh 6,999"
St germain ,                      700 ml,"Ksh 7,450"
Jagermeister manifest,                      1 litre,"Ksh 7,999"
Drambuie 15 years,                      1 litre,"Ksh 8,990"
Patron XO Cafe,                      700 ml,"Ksh 9,000"
Grappa Nonino Gioiello Castagno,                      750 ml,"Ksh 13,999"
Grappa bottega fume,                      3 litres,"Ksh 15,000"
Fenjiu panama 20 years,                      4.5 litres,"Ksh 19,999"
Rendez vous apple,                      750 ml,"Ksh 1,199"
4th street red sweet,                      750 ml,"Ksh 1,199"
Rendez vous white grape,                      750 ml,"Ksh 1,199"
Rendez vous red grape,                      750 ml,"Ksh 1,199"
4th street white sweet,                      750 ml,"Ksh 1,199"
Rendez vous blue,                      750 ml,"Ksh 1,199"
Drostdy hof claret select red dry,                      750 ml,"Ksh 1,199"
Rendez vous pink,                      750 ml,"Ksh 1,199"
Pure heaven white celebration drink (non-alcoholic),                      750 ml,"Ksh 1,200"
Royalty white celebration drink (non-alcoholic),                      750 ml,"Ksh 1,200"
Penasol red sweet,                      750 ml,"Ksh 1,200"
Penasol red dry,                      750 ml,"Ksh 1,200"
Caprice red dry cask,                      1 litre,"Ksh 1,200"
Cellar cask sweet red,                      750 ml,"Ksh 1,200"
Caprice red sweet cask,                      1 litre,"Ksh 1,200"
Four cousins white sweet,                      750 ml,"Ksh 1,200"
Caprice dry white,                      750 ml,"Ksh 1,200"
Cellar cask white sweet,                      750 ml,"Ksh 1,200"
Drostdy-hof white sweet,                      750 ml,"Ksh 1,200"
Orange cellar chenin blanc,                      750 ml,"Ksh 1,200"
Saint anna white sweet,                      750 ml,"Ksh 1,200"
Chamdor white (non-alcoholic-wine),                      750 ml,"Ksh 1,200"
Pure heaven red celebration drink (non-alcholic),                      750 ml,"Ksh 1,200"
Four cousins sweet red,                      750 ml,"Ksh 1,200"
Saint celine sweet red,                      750 ml,"Ksh 1,200"
Caprice red dry,                      750 ml,"Ksh 1,200"
Orange river cellars dry red,                      750 ml,"Ksh 1,200"
Chamdor red (non-alcoholic wine),                      750 ml,"Ksh 1,200"
Caprice red sweet,                      750 ml,"Ksh 1,200"
Ama la vida white,                      750 ml,"Ksh 1,300"
Frontera merlot,                      750 ml,"Ksh 1,399"
Frontera chardonnay,                      750 ml,"Ksh 1,399"
Frontera sauvignon blanc,                      750 ml,"Ksh 1,399"
Namaqua pinotage,                      750 ml,"Ksh 1,399"
4th Street sweet rose,                      750 ml,"Ksh 1,399"
Frontera caberbet sauvignon,                      750 ml,"Ksh 1,399"
Frontera shiraz,                      750 ml,"Ksh 1,399"
Namaqua sweet White,                      750 ml,"Ksh 1,399"
Four cousins chardonnay,                      750 ml,"Ksh 1,399"
Frontera aftermidnight,                      750 ml,"Ksh 1,400"
Gato negro chardonnay,                      750 ml,"Ksh 1,400"
Drostdy-hof premier grand cru white dry,                      750 ml,"Ksh 1,400"
Frontera cabernet blush,                      750 ml,"Ksh 1,400"
Four cousins sweet rose,                      750 ml,"Ksh 1,400"
Gran verano merlot,                      750 ml,"Ksh 1,499"
Rib shack red,                      750 ml,"Ksh 1,499"
Culemborg cape white,                      750 ml,"Ksh 1,499"
Amor sweet white wine,                      750 ml,"Ksh 1,500"
El chivo cabernet sauvignon,                      750 ml,"Ksh 1,699"
El chivo sauvingnon blanc,                      750 ml,"Ksh 1,699"
Arbormist white zinfandel strawberry,                      750 ml,"Ksh 1,700"
Tall horse merlot,                      750 ml,"Ksh 1,700"
Arbor mist merlot blackberry,                      750 ml,"Ksh 1,700"
Frontera Sweet Red,                      750 ml,"Ksh 1,700"
Arbor mist chardonnay tropical fruits,                      750 ml,"Ksh 1,700"
Versus sweet red,                      750 ml,"Ksh 1,700"
Tall horse pinotage,                      750 ml,"Ksh 1,700"
Tall horse sauvignon blanc,                      750 ml,"Ksh 1,700"
Robertson winery sweet red,                      750 ml,"Ksh 1,799"
Sunkissed natural sweet white wine,                      750 ml,"Ksh 1,799"
Jp chenet strawberry and raspberry,                      750 ml,"Ksh 1,799"
Jp chenet pineapple,                      750 ml,"Ksh 1,799"
Leleshwa White dry,                      750 ml,"Ksh 1,799"
Jp chenet apple,                      750 ml,"Ksh 1,799"
Puianello primabolla reggiano doc lambrusco,                      750 ml,"Ksh 1,799"
Apaltagua gran verano rosado carmenere,                      750 ml,"Ksh 1,799"
Robertson winery sweet white,                      750 ml,"Ksh 1,799"
Gato negro cabernet merlot,                      750 ml,"Ksh 1,799"
Gato negro shiraz,                      750 ml,"Ksh 1,799"
Gato negro sauvignon blanc,                      750 ml,"Ksh 1,799"
Casal mendes blue,                      750 ml,"Ksh 1,799"
Obikwa pinotage,                      750 ml,"Ksh 1,799"
Gato negro merlot,                      750 ml,"Ksh 1,799"
Leleshwa sauvignon blanc,                      750 ml,"Ksh 1,799"
Gato negro cabernet sauvignon,                      750 ml,"Ksh 1,800"
Culemborg cape red,                      750 ml,"Ksh 1,800"
Mamma mia red sweet,                      750 ml,"Ksh 1,800"
Lambrusco dell'emilia amabile bianco,                      750 ml,"Ksh 1,800"
Frontera Sparkling Rose,                      750 ml,"Ksh 1,800"
Frontera Sparkling Moscato,                      750 ml,"Ksh 1,800"
Black Bird Sweet Rose,                      750 ml,"Ksh 1,800"
Black Bird Sweet Red,                      750 ml,"Ksh 1,800"
