Name,Price,Liquor Type
ARDBEG 1LTR(46%),"KSh15,000.00",Whisky
THE GLENLIVET 18YRS 700ML (40%),"KSh14,250.00",Whisky
FAMOUS GROUSE 4.5LTRS(40%),"KSh14,000.00",Whisky
CARDHU 18 YEARS 700ML(40%),"KSh13,800.00",Whisky
AUCHENTOSHAN 18 YEARS 700ML(43%),"KSh15,000.00",Whisky
GLENFIDDICH 15 YEARS 1LITRE (40%),"KSh14,200.00",Whisky
MACALLAN FINE OAK 12 YEARS 700ML(40%),"KSh12,850.00",Whisky
JOHNNIE WALKER PLATINUM LABEL 1LTR(40%),"KSh12,000.00",Whisky
ABERLOUR 16YRS 700ML(40%),"KSh12,000.00",Whisky
BALLANTINES FINEST 4.5LTRS(40%),"KSh12,000.00",Whisky
BALVENIE CARIBBEAN CASK 14 YEARS 700ML(43%),"KSh12,000.00",Whisky
JOHNNIE WALKER 18 YEARS 750ML(40%),"KSh11,850.00",Whisky
JOHNNIE WALKER GOLD LABEL RESERVE 1LTR(40%),"KSh11,500.00",Whisky
LAGAVULIN 16YRS 700ML(43%),"KSh11,000.00",Whisky
JOHNNIE WALKER RED 4.5LTR(40%),"KSh11,000.00",Whisky
BALVENIE 12 DOUBLE WOOD 700ML(40%),"KSh10,700.00",Whisky
BALLANTINES 17 YEARS 700ML(43%),"KSh10,700.00",Whisky
GLENFIDDICH 15YRS 700ML(40%),"KSh10,600.00",Whisky
GLENFIDDICH 12YRS 1LTR(40%),"KSh10,130.00",Whisky
DALWHINNIE 15YRS 750ML(43%),"KSh10,100.00",Whisky
CARDHU 15 YEARS 700ML(40%),"KSh11,000.00",Whisky
GLENFIDDICH IPA EXPERIMENT 700ML(43%),"KSh10,000.00",Whisky
LAPHROAIG 10 YEARS 700ML(40%),"KSh10,000.00",Whisky
SINGLETON 18YRS 750ML(40%),"KSh10,000.00",Whisky
CHIVAS REGAL 18YRS 750ML(40%),"KSh9,900.00",Whisky
LAGAVULIN WHISKY 9 YEARS 700ML(46%),"KSh9,800.00",Whisky
ABERLOUR 12 YEARS 700ML (40%),"KSh9,600.00",Whisky
TALISKER 10YRS 1LTR(45.8%),"KSh10,000.00",Whisky
GLENLIVET 15YRS 700ML(40%),"KSh12,500.00",Whisky
SIR EDWARDS 4.5LTRS(40%),"KSh9,500.00",Whisky
GLENMORANGIE ORIGINAL 1LITRE(40%),"KSh9,350.00",Whisky
THE DALMORE 12 YRS 700ML(40%),"KSh9,200.00",Whisky
GLENLIVET 12YRS 1LTR(40%),"KSh8,750.00",Whisky
JOHNNIE WALKER GOLD LABEL RESERVE 750ML(40%),"KSh8,600.00",Whisky
JOHNNIE WALKER RED LABEL 3LTRS(40%),"KSh8,500.00",Whisky
JOHNNIE WALKER PLATINUM LABEL 750ML(40%),"KSh8,500.00",Whisky
JOHNNIE WALKER GREEN LABEL 750ML(43%),"KSh8,200.00",Whisky
CAOL ILA 12 YEARS 700ML(43%),"KSh8,150.00",Whisky
GLENFIDDICH 12YRS 700ML(40%) + A FREE FLASK,"KSh8,100.00",Whisky
GLENMORANGIE LASANTA 12YRS 1LTR(40%),"KSh8,000.00",Whisky
JURA 12 YEARS 700ML(40%),"KSh8,000.00",Whisky
GLENMORANGIE NECTAR D’OR 700ML(46%),"KSh7,850.00",Whisky
SINGLETON 15 YEARS 700ML (40%),"KSh8,300.00",Whisky
GLENMORANGIE ORIGINAL 700ML(40%),"KSh8,100.00",Whisky
ABERFELDY 12 YEARS 700ML(40%),"KSh7,500.00",Whisky
GLENMORANGIE QUINTA RUBAN 1LTR(46%),"KSh7,500.00",Whisky
OBAN 14YRS 750ML(43%),"KSh7,500.00",Whisky
GLENMORANGIE QUINTA RUBAN 700ML(46%),"KSh7,350.00",Whisky
GLENMORANGIE LASANTA 12 YEARS 700ML(40%),"KSh7,200.00",Whisky
GLENROTHES SELECT RESERVE 700ML (40%),"KSh7,200.00",Whisky
HIGHLAND PARK 12YRS 700ML(40%),"KSh7,000.00",Whisky
TALISKER 10 YEARS 750ML (40%),"KSh7,700.00",Whisky
LAPHROAIG QUARTER CASK 700ML(40%),"KSh6,850.00",Whisky
LAPHROAIG SELECT CASK 700ML (40%),"KSh6,800.00",Whisky
GLENKINCHIE 1LTR(40%),"KSh6,800.00",Whisky
JOHNNIE WALKER DOUBLE BLACK 1 LITRE(40%),"KSh6,500.00",Whisky
AUCHENTOSHAN AMERICAN OAK 700ML(40%),"KSh6,500.00",Whisky
GLENKINCHIE 750ML(40%),"KSh6,450.00",Whisky
MONKEY SHOULDER 1LTR(40%),"KSh6,400.00",Whisky
CARDHU 12 YEARS 1 LITRE(40%),"KSh6,350.00",Whisky
JURA 10 YEARS 700ML(40%),"KSh6,300.00",Whisky
GLENLIVET 12 YEARS 700ML(40%),"KSh6,300.00",Whisky
TALISKER STORM 750ML(45.8%),"KSh6,250.00",Whisky
AUCHENTOSHAN 12 YEARS 700ML(40%),"KSh6,250.00",Whisky
JOHNNIE WALKER A SONG OF ICE 1LTR(40.2%),"KSh6,000.00",Whisky
SCAPA OCARDIAN WHISKY 750ML(40%),"KSh6,000.00",Whisky
JOHNNIE WALKER WHITE WALKER 1LTR(41.7%),"KSh7,000.00",Whisky
SINGLETON 12YRS 700ML(40%),"KSh5,700.00",Whisky
THE GLENLIVET FOUNDERS RESERVE 700ML(40%),"KSh5,650.00",Whisky
MONKEY SHOULDER 700ML(40%),"KSh5,600.00",Whisky
BOWMORE 12YRS 700ML(40%),"KSh5,500.00",Whisky
BALLANTINES 12YRS 750ML(40%),"KSh5,350.00",Whisky
JOHNNIE WALKER DOUBLE BLACK 750ML(40%),"KSh6,300.00",Whisky
JOHNNIE WALKER WHITE WALKER 750ML(41.7%),"KSh5,000.00",Whisky
