Name,Price,Liquor Type
NABYGELEGEN UPPER VALLEY SEVENTEEN TWELVE 750ML(14%),"KSh3,200.00",Wine
CARLO ROSSI SWEET RED 3LTRS(9%),"KSh3,200.00",Wine
DELUSH NATURAL SWEET RED 5LTRS(9.5%),"KSh3,200.00",Wine
CARLO ROSSI SWEET ROSE 3LTRS,"KSh3,200.00",Wine
MATEUS ROSE 1.5LTRS(11%),"KSh3,150.00",Wine
SIMONSIG CABERNET SAUVIGNON SHIRAZ 750ML(13.5%),"KSh3,150.00",Wine
THE CROSSINGS PINOT NOIR 750ML (13%),"KSh3,100.00",Wine
SIMONSIG SMV DRY RED 750ML(9%),"KSh3,100.00",Wine
SIMONSIG CHARDONNAY DRY WHITE 750ML(13%),"KSh3,100.00",Wine
SIMONSIG CABERNET SAUVIGNON 750ML(13.5%),"KSh3,100.00",Wine
CON SUR RESERVA ESPECIAL MERLOT 750ML(14%),"KSh3,100.00",Wine
ALTO 1693 750ML(14%),"KSh3,100.00",Wine
SIMONSIG MR BORIO’S SHIRAZ 750ML (14.83%),"KSh3,050.00",Wine
PETER VELLA BLUSH 5LTR(9%),"KSh3,000.00",Wine
NEDERBURG MANOR HOUSE CABERNET SAUVIGNON 750ML(14.5%),"KSh3,000.00",Wine
NEDERBURG MANOR HOUSE SHIRAZ 750 ML(14.5%),"KSh3,100.00",Wine
ANDRE SPARKLING BRUT 750ML(10.5%),"KSh3,000.00",Wine
CATENA MALBEC 750ML(13.6%),"KSh3,000.00",Wine
GRAHAMS FINE TAWNY PORT 750ML(19%),"KSh3,000.00",Wine
NEDERBURG MANOR HOUSE SAUVIGNON BLANC 750ML(14%),"KSh3,000.00",Wine
SANDEMAN WHITE PORT 1LTR(19%),"KSh3,050.00",Wine
MOUNT HERMON MOSCATO 750ML(6%),"KSh2,900.00",Wine
BELLINGHAM CABERNET SAUVIGNON DRY RED 750ML(14%),"KSh2,900.00",Wine
SANDEMAN FOUNDERS RESERVE PORT 750ML(20%),"KSh2,900.00",Wine
ORANGE RIVER CELLARS RED 5LTRS (8%),"KSh2,900.00",Wine
SILVER MOUNTAIN VINEYARDS ALLOY 750ML(13.8%),"KSh4,400.00",Wine
NABYGELEGEN UPPER VALLEY PETIT VERDOT 750ML(14%),"KSh2,880.00",Wine
BELLINGHAM SHIRAZ 750ML(14%),"KSh2,850.00",Wine
BELLINGHAM PINOTAGE DRY RED 750ML(14%),"KSh2,850.00",Wine
CARLO ROSSI WHITE 3LTRS(9.5%),"KSh2,800.00",Wine
OVERMEER SWEET ROSE 5LTRS(9%),"KSh2,800.00",Wine
CARLO ROSSI SANGRIA 3LTRS(10%),"KSh2,800.00",Wine
NAMAQUA SAUVIGNON BLANC 5LTRS(13.5%),"KSh2,800.00",Wine
